topic,description,source,url,text
Incidence rate of lip and oral cavity cancer (per 100 000 population),WHO Global Health Observatory - Incidence rate of lip and oral cavity cancer (per 100 000 population),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,[WHO-GHO] Incidence rate of lip and oral cavity cancer (per 100 000 population): WHO Global Health Observatory - Incidence rate of lip and oral cavity cancer (per 100 000 population)
Chronic hepatitis B (HBV) treatment rate as percentage of total infected (%),WHO Global Health Observatory - Chronic hepatitis B (HBV) treatment rate as percentage of total infected (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HBV_TREATMENT_PERINFECTED_PER100,[WHO-GHO] Chronic hepatitis B (HBV) treatment rate as percentage of total infected (%): WHO Global Health Observatory - Chronic hepatitis B (HBV) treatment rate as percentage of total infected (%)
"Diabetes treatment coverage, age-standardized","WHO Global Health Observatory - Diabetes treatment coverage, age-standardized",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_DIABETES_TREATMENT_AGESTD,"[WHO-GHO] Diabetes treatment coverage, age-standardized: WHO Global Health Observatory - Diabetes treatment coverage, age-standardized"
Number of non-autochthonous leprosy cases,WHO Global Health Observatory - Number of non-autochthonous leprosy cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NTD_LEPR14,[WHO-GHO] Number of non-autochthonous leprosy cases: WHO Global Health Observatory - Number of non-autochthonous leprosy cases
Chronic hepatitis B (HBV) treatment rate as percentage of diagnosed (%),WHO Global Health Observatory - Chronic hepatitis B (HBV) treatment rate as percentage of diagnosed (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HBV_TREATMENT_PERDIAGNOSED_PER100,[WHO-GHO] Chronic hepatitis B (HBV) treatment rate as percentage of diagnosed (%): WHO Global Health Observatory - Chronic hepatitis B (HBV) treatment rate as percentage of diagnosed (%)
"Diabetes treatment coverage, crude","WHO Global Health Observatory - Diabetes treatment coverage, crude",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_DIABETES_TREATMENT_CRUDE,"[WHO-GHO] Diabetes treatment coverage, crude: WHO Global Health Observatory - Diabetes treatment coverage, crude"
Number of indigenous P. falciparum malaria cases,WHO Global Health Observatory - Number of indigenous P. falciparum malaria cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_PF_INDIG,[WHO-GHO] Number of indigenous P. falciparum malaria cases: WHO Global Health Observatory - Number of indigenous P. falciparum malaria cases
Persons on chronic hepatitis B (HBV) treatment (number),WHO Global Health Observatory - Persons on chronic hepatitis B (HBV) treatment (number),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HBV_TREATMENT_NUM,[WHO-GHO] Persons on chronic hepatitis B (HBV) treatment (number): WHO Global Health Observatory - Persons on chronic hepatitis B (HBV) treatment (number)
"Population with access to an insecticide-treated bed net (ITN) for malaria protection (%), modelled","WHO Global Health Observatory - Population with access to an insecticide-treated bed net (ITN) for malaria protection (%), modelled",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_ITN_COVERAGE,"[WHO-GHO] Population with access to an insecticide-treated bed net (ITN) for malaria protection (%), modelled: WHO Global Health Observatory - Population with access to an insecticide-treated bed net (ITN) for malaria protection (%), modelled"
"Hypertension: diagnosis coverage among adults aged 30-79 with hypertension, age-standardized (%)","WHO Global Health Observatory - Hypertension: diagnosis coverage among adults aged 30-79 with hypertension, age-standardized (%)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_HYP_DIAGNOSIS_A,"[WHO-GHO] Hypertension: diagnosis coverage among adults aged 30-79 with hypertension, age-standardized (%): WHO Global Health Observatory - Hypertension: diagnosis coverage among adults aged 30-79 with hypertension, age-standardized (%)"
Existence of population-based cancer registry,WHO Global Health Observatory - Existence of population-based cancer registry,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_PBCR,[WHO-GHO] Existence of population-based cancer registry: WHO Global Health Observatory - Existence of population-based cancer registry
"Chronic hepatitis C (HCV) infected persons diagnosed, including cured (number)","WHO Global Health Observatory - Chronic hepatitis C (HCV) infected persons diagnosed, including cured (number)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_DIAGNOSED_CRD_NUM,"[WHO-GHO] Chronic hepatitis C (HCV) infected persons diagnosed, including cured (number): WHO Global Health Observatory - Chronic hepatitis C (HCV) infected persons diagnosed, including cured (number)"
"Hypertension effective treatment coverage (controlled hypertension )among adults aged 30-79, age-standardized (%)","WHO Global Health Observatory - Hypertension effective treatment coverage (controlled hypertension )among adults aged 30-79, age-standardized (%)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_HYP_CONTROL_A,"[WHO-GHO] Hypertension effective treatment coverage (controlled hypertension )among adults aged 30-79, age-standardized (%): WHO Global Health Observatory - Hypertension effective treatment coverage (controlled hypertension )among adults aged 30-79, age-standardized (%)"
In-prison cancer diagnosis (number of diagnoses),WHO Global Health Observatory - In-prison cancer diagnosis (number of diagnoses),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/PRISON_D4_CANCER_DIAG_TOT,[WHO-GHO] In-prison cancer diagnosis (number of diagnoses): WHO Global Health Observatory - In-prison cancer diagnosis (number of diagnoses)
Chronic hepatitis B (HBV) diagnosis coverage as a percentage of infected (%),WHO Global Health Observatory - Chronic hepatitis B (HBV) diagnosis coverage as a percentage of infected (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HBV_DIAGNOSIS_PERINFECTED_PER100,[WHO-GHO] Chronic hepatitis B (HBV) diagnosis coverage as a percentage of infected (%): WHO Global Health Observatory - Chronic hepatitis B (HBV) diagnosis coverage as a percentage of infected (%)
In-prison vaccination for Hepatitis A,WHO Global Health Observatory - In-prison vaccination for Hepatitis A,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/PRISON_B11_VACPREV_HEPA,[WHO-GHO] In-prison vaccination for Hepatitis A: WHO Global Health Observatory - In-prison vaccination for Hepatitis A
"Hypertension treatment coverage among adults aged 30-79 with hypertension, crude (%)","WHO Global Health Observatory - Hypertension treatment coverage among adults aged 30-79 with hypertension, crude (%)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_HYP_TREATMENT_C,"[WHO-GHO] Hypertension treatment coverage among adults aged 30-79 with hypertension, crude (%): WHO Global Health Observatory - Hypertension treatment coverage among adults aged 30-79 with hypertension, crude (%)"
In-prison vaccination for Hepatitis B,WHO Global Health Observatory - In-prison vaccination for Hepatitis B,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/PRISON_B11_VACPREV_HEPB,[WHO-GHO] In-prison vaccination for Hepatitis B: WHO Global Health Observatory - In-prison vaccination for Hepatitis B
Measles immunization coverage among one-year-olds (%),WHO Global Health Observatory - Measles immunization coverage among one-year-olds (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/vmsl,[WHO-GHO] Measles immunization coverage among one-year-olds (%): WHO Global Health Observatory - Measles immunization coverage among one-year-olds (%)
Existence of a national target on blood pressure / hypertension,WHO Global Health Observatory - Existence of a national target on blood pressure / hypertension,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_BP_TARGET,[WHO-GHO] Existence of a national target on blood pressure / hypertension: WHO Global Health Observatory - Existence of a national target on blood pressure / hypertension
"HIV tests performed where results were received by a person (testing volume), reporting period","WHO Global Health Observatory - HIV tests performed where results were received by a person (testing volume), reporting period",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_0000000029,"[WHO-GHO] HIV tests performed where results were received by a person (testing volume), reporting period: WHO Global Health Observatory - HIV tests performed where results were received by a person (testing volume), reporting period"
"Persons on chronic hepatitis C (HCV) treatment, cumulative (number)","WHO Global Health Observatory - Persons on chronic hepatitis C (HCV) treatment, cumulative (number)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_TREATMENT_CUM_NUM,"[WHO-GHO] Persons on chronic hepatitis C (HCV) treatment, cumulative (number): WHO Global Health Observatory - Persons on chronic hepatitis C (HCV) treatment, cumulative (number)"
"Prevalence of diabetes, age-standardized","WHO Global Health Observatory - Prevalence of diabetes, age-standardized",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_DIABETES_PREVALENCE_AGESTD,"[WHO-GHO] Prevalence of diabetes, age-standardized: WHO Global Health Observatory - Prevalence of diabetes, age-standardized"
Prevalence of cervical cancer screening  among women aged 30-49 years (%),WHO Global Health Observatory - Prevalence of cervical cancer screening  among women aged 30-49 years (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,[WHO-GHO] Prevalence of cervical cancer screening  among women aged 30-49 years (%): WHO Global Health Observatory - Prevalence of cervical cancer screening  among women aged 30-49 years (%)
Existence of evidence-based national guidelines/protocols/standards for the management of diabetes,WHO Global Health Observatory - Existence of evidence-based national guidelines/protocols/standards for the management of diabetes,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_DIAB_GUIDE,[WHO-GHO] Existence of evidence-based national guidelines/protocols/standards for the management of diabetes: WHO Global Health Observatory - Existence of evidence-based national guidelines/protocols/standards for the management of diabetes
Number of people protected from malaria by indoor residual spraying (IRS),WHO Global Health Observatory - Number of people protected from malaria by indoor residual spraying (IRS),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_IRS_COVERAGE,[WHO-GHO] Number of people protected from malaria by indoor residual spraying (IRS): WHO Global Health Observatory - Number of people protected from malaria by indoor residual spraying (IRS)
In-prison diabetes mellitus diagnosis (number of diagnoses),WHO Global Health Observatory - In-prison diabetes mellitus diagnosis (number of diagnoses),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/PRISON_D4_DIABETES_DIAG_TOT,[WHO-GHO] In-prison diabetes mellitus diagnosis (number of diagnoses): WHO Global Health Observatory - In-prison diabetes mellitus diagnosis (number of diagnoses)
New chronic hepatitis B (HBV) infections (number),WHO Global Health Observatory - New chronic hepatitis B (HBV) infections (number),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HBV_INFECTIONS_NEW_NUM,[WHO-GHO] New chronic hepatitis B (HBV) infections (number): WHO Global Health Observatory - New chronic hepatitis B (HBV) infections (number)
Diabetes Mellitus,CDC WONDER - Diabetes Mellitus - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] Diabetes Mellitus: CDC WONDER - Diabetes Mellitus - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
Hypertensive Diseases,CDC WONDER - Hypertensive Diseases - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] Hypertensive Diseases: CDC WONDER - Hypertensive Diseases - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
Ischemic Heart Diseases,CDC WONDER - Ischemic Heart Diseases - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] Ischemic Heart Diseases: CDC WONDER - Ischemic Heart Diseases - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
Cerebrovascular Diseases,CDC WONDER - Cerebrovascular Diseases - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] Cerebrovascular Diseases: CDC WONDER - Cerebrovascular Diseases - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
Malignant Neoplasms,CDC WONDER - Malignant Neoplasms - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] Malignant Neoplasms: CDC WONDER - Malignant Neoplasms - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
Chronic Lower Respiratory Diseases,CDC WONDER - Chronic Lower Respiratory Diseases - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] Chronic Lower Respiratory Diseases: CDC WONDER - Chronic Lower Respiratory Diseases - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
Influenza and Pneumonia,CDC WONDER - Influenza and Pneumonia - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] Influenza and Pneumonia: CDC WONDER - Influenza and Pneumonia - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
Nephritis and Nephrosis,CDC WONDER - Nephritis and Nephrosis - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] Nephritis and Nephrosis: CDC WONDER - Nephritis and Nephrosis - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
Septicemia,CDC WONDER - Septicemia - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] Septicemia: CDC WONDER - Septicemia - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
Alzheimer's Disease,CDC WONDER - Alzheimer's Disease - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] Alzheimer's Disease: CDC WONDER - Alzheimer's Disease - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
Parkinson's Disease,CDC WONDER - Parkinson's Disease - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] Parkinson's Disease: CDC WONDER - Parkinson's Disease - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
Viral Hepatitis,CDC WONDER - Viral Hepatitis - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] Viral Hepatitis: CDC WONDER - Viral Hepatitis - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
Tuberculosis,CDC WONDER - Tuberculosis - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] Tuberculosis: CDC WONDER - Tuberculosis - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
HIV Infection,CDC WONDER - HIV Infection - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] HIV Infection: CDC WONDER - HIV Infection - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
Viral Hepatitis,CDC WONDER - Viral Hepatitis - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research,CDC-WONDER,https://wonder.cdc.gov/,[CDC-WONDER] Viral Hepatitis: CDC WONDER - Viral Hepatitis - Mortality and health statistics from CDC Wide-ranging Online Data for Epidemiologic Research
DIABETES,NIH Research on diabetes - National Institutes of Health research data and publications,NIH,https://www.nih.gov/health-information/diabetes,[NIH] DIABETES: NIH Research on diabetes - National Institutes of Health research data and publications
CANCER,NIH Research on cancer - National Institutes of Health research data and publications,NIH,https://www.nih.gov/health-information/cancer,[NIH] CANCER: NIH Research on cancer - National Institutes of Health research data and publications
HEART DISEASE,NIH Research on heart disease - National Institutes of Health research data and publications,NIH,https://www.nih.gov/health-information/heart-disease,[NIH] HEART DISEASE: NIH Research on heart disease - National Institutes of Health research data and publications
TUBERCULOSIS,NIH Research on tuberculosis - National Institutes of Health research data and publications,NIH,https://www.nih.gov/health-information/tuberculosis,[NIH] TUBERCULOSIS: NIH Research on tuberculosis - National Institutes of Health research data and publications
MALARIA,NIH Research on malaria - National Institutes of Health research data and publications,NIH,https://www.nih.gov/health-information/malaria,[NIH] MALARIA: NIH Research on malaria - National Institutes of Health research data and publications
HIV/AIDS,NIH Research on hiv/aids - National Institutes of Health research data and publications,NIH,https://www.nih.gov/health-information/hiv/aids,[NIH] HIV/AIDS: NIH Research on hiv/aids - National Institutes of Health research data and publications
ALZHEIMER,NIH Research on alzheimer - National Institutes of Health research data and publications,NIH,https://www.nih.gov/health-information/alzheimer,[NIH] ALZHEIMER: NIH Research on alzheimer - National Institutes of Health research data and publications
ASTHMA,NIH Research on asthma - National Institutes of Health research data and publications,NIH,https://www.nih.gov/health-information/asthma,[NIH] ASTHMA: NIH Research on asthma - National Institutes of Health research data and publications
STROKE,NIH Research on stroke - National Institutes of Health research data and publications,NIH,https://www.nih.gov/health-information/stroke,[NIH] STROKE: NIH Research on stroke - National Institutes of Health research data and publications
HEPATITIS,NIH Research on hepatitis - National Institutes of Health research data and publications,NIH,https://www.nih.gov/health-information/hepatitis,[NIH] HEPATITIS: NIH Research on hepatitis - National Institutes of Health research data and publications
KIDNEY DISEASE,NIH Research on kidney disease - National Institutes of Health research data and publications,NIH,https://www.nih.gov/health-information/kidney-disease,[NIH] KIDNEY DISEASE: NIH Research on kidney disease - National Institutes of Health research data and publications
MENTAL HEALTH,NIH Research on mental health - National Institutes of Health research data and publications,NIH,https://www.nih.gov/health-information/mental-health,[NIH] MENTAL HEALTH: NIH Research on mental health - National Institutes of Health research data and publications
Clinical Trial: Diabetes,"We will conduct a prospective, single-center observational study involving 60 adult T2D patients recruited from Chang Gung Memorial Hospital. Participants will be randomly allocated to either a CGM group or a control group receiving standard care. The intervention group will utilize mobile apps for medication tracking, and a remote communication platform. All participants will collect clinical data-including HbA1c, Time in Range (TIR), insulin use-at baseline and 12 weeks. Patient adherence and ",ClinicalTrials.gov-NIH,https://clinicaltrials.gov/study/NCT07642830,"[ClinicalTrials.gov-NIH] Clinical Trial: Diabetes: We will conduct a prospective, single-center observational study involving 60 adult T2D patients recruited from Chang Gung Memorial Hospital. Participants will be randomly allocated to either a CGM group or a control group receiving standard care. The intervention group will utilize mobile apps for medication tracking, and a remote communication platform. All participants will collect clinical data-including HbA1c, Time in Range (TIR), insulin use-at baseline and 12 weeks. Patient adherence and "
Clinical Trial: Diabetes,"The 100-Year Human Aging Study is a prospective, pragmatic, observational trial enrolling participants across fixed and mobile clinical sites to undergo comprehensive multi-system health screening and longitudinal follow-up until death. Participants are followed to determine whether measurements taken at enrollment and repeated across the lifespan - individually and in combination - predict all-cause mortality, cause-specific mortality, incident serious disease, and functional disability. The st",ClinicalTrials.gov-NIH,https://clinicaltrials.gov/study/NCT07563777,"[ClinicalTrials.gov-NIH] Clinical Trial: Diabetes: The 100-Year Human Aging Study is a prospective, pragmatic, observational trial enrolling participants across fixed and mobile clinical sites to undergo comprehensive multi-system health screening and longitudinal follow-up until death. Participants are followed to determine whether measurements taken at enrollment and repeated across the lifespan - individually and in combination - predict all-cause mortality, cause-specific mortality, incident serious disease, and functional disability. The st"
Clinical Trial: Hypertension,"This is a single site, single-blinded parallel randomized control trial that investigates a multi-level intervention to improve postpartum blood pressure in women with hypertensive disorder pregnancy. The investigators will recruit women diagnosed with a hypertensive disorder of pregnancy, identified between 3rd trimester and 2 weeks post-delivery. The investigators will randomize participants to receive usual care home blood pressure monitoring for 6 weeks versus an intervention of usual care +",ClinicalTrials.gov-NIH,https://clinicaltrials.gov/study/NCT05655936,"[ClinicalTrials.gov-NIH] Clinical Trial: Hypertension: This is a single site, single-blinded parallel randomized control trial that investigates a multi-level intervention to improve postpartum blood pressure in women with hypertensive disorder pregnancy. The investigators will recruit women diagnosed with a hypertensive disorder of pregnancy, identified between 3rd trimester and 2 weeks post-delivery. The investigators will randomize participants to receive usual care home blood pressure monitoring for 6 weeks versus an intervention of usual care +"
Clinical Trial: Hypertension,"This investigator-initiated, randomized, controlled, single-blind, superiority trial aims to assess the efficacy and safety of esketamine combined with dexmedetomidine for the management of agitation or delirium in intensive care unit (ICU) patients receiving non-invasive respiratory support. The primary endpoint is a clinically prioritized hierarchical composite endpoint within 28 days, including intubation or tracheostomy, delirium duration, and agitation duration.",ClinicalTrials.gov-NIH,https://clinicaltrials.gov/study/NCT07377981,"[ClinicalTrials.gov-NIH] Clinical Trial: Hypertension: This investigator-initiated, randomized, controlled, single-blind, superiority trial aims to assess the efficacy and safety of esketamine combined with dexmedetomidine for the management of agitation or delirium in intensive care unit (ICU) patients receiving non-invasive respiratory support. The primary endpoint is a clinically prioritized hierarchical composite endpoint within 28 days, including intubation or tracheostomy, delirium duration, and agitation duration."
Clinical Trial: COVID-19,The primary objective of the Outpatient Treatment with Anti-Coronavirus Immunoglobulin (OTAC) (INSIGHT 012) trial is to compare the safety and efficacy of a single infusion of anti-COVID-19 hyperimmune intravenous immunoglobulin (hIVIG) versus placebo among adults with recently diagnosed severe acute respiratory syndrome - coronavirus 2 (SARS-CoV2) infection who do not require hospitalization. The primary endpoint of this double-blind randomized trial is a five-category ordinal outcome that asse,ClinicalTrials.gov-NIH,https://clinicaltrials.gov/study/NCT04910269,[ClinicalTrials.gov-NIH] Clinical Trial: COVID-19: The primary objective of the Outpatient Treatment with Anti-Coronavirus Immunoglobulin (OTAC) (INSIGHT 012) trial is to compare the safety and efficacy of a single infusion of anti-COVID-19 hyperimmune intravenous immunoglobulin (hIVIG) versus placebo among adults with recently diagnosed severe acute respiratory syndrome - coronavirus 2 (SARS-CoV2) infection who do not require hospitalization. The primary endpoint of this double-blind randomized trial is a five-category ordinal outcome that asse
Clinical Trial: COVID-19,"Respiratory viral infections caused by influenza, respiratory syncytial virus (RSV), and SARS-CoV-2 remain major causes of morbidity, hospitalization, and mortality among older adults worldwide. Current antiviral therapies have limited effectiveness and generally require administration within the first 48 hours after symptom onset. Increasing evidence suggests that the programmed death receptor-1/programmed death ligand-1 (PD-1/PD-L1) immune checkpoint pathway plays an important role in the host",ClinicalTrials.gov-NIH,https://clinicaltrials.gov/study/NCT07643688,"[ClinicalTrials.gov-NIH] Clinical Trial: COVID-19: Respiratory viral infections caused by influenza, respiratory syncytial virus (RSV), and SARS-CoV-2 remain major causes of morbidity, hospitalization, and mortality among older adults worldwide. Current antiviral therapies have limited effectiveness and generally require administration within the first 48 hours after symptom onset. Increasing evidence suggests that the programmed death receptor-1/programmed death ligand-1 (PD-1/PD-L1) immune checkpoint pathway plays an important role in the host"
Clinical Trial: Asthma,"This is a prospective, multicenter real-world study to describe the postoperative outcomes and quality of life, disease control and characteristics of patients who underwent surgery, as well as economic burden and post-operative treatment patterns in Chinese patients with CRSwNP recurrence.",ClinicalTrials.gov-NIH,https://clinicaltrials.gov/study/NCT07446738,"[ClinicalTrials.gov-NIH] Clinical Trial: Asthma: This is a prospective, multicenter real-world study to describe the postoperative outcomes and quality of life, disease control and characteristics of patients who underwent surgery, as well as economic burden and post-operative treatment patterns in Chinese patients with CRSwNP recurrence."
Clinical Trial: Asthma,"This is a phase 2b, randomized, double-blind, placebo-controlled study investigating the efficacy, safety, and tolerability of Taplucainium Inhalation Powder (NOC-110) once daily in adults with refractory or unexplained chronic cough.",ClinicalTrials.gov-NIH,https://clinicaltrials.gov/study/NCT06504446,"[ClinicalTrials.gov-NIH] Clinical Trial: Asthma: This is a phase 2b, randomized, double-blind, placebo-controlled study investigating the efficacy, safety, and tolerability of Taplucainium Inhalation Powder (NOC-110) once daily in adults with refractory or unexplained chronic cough."
Clinical Trial: HIV,The primary objective of the Outpatient Treatment with Anti-Coronavirus Immunoglobulin (OTAC) (INSIGHT 012) trial is to compare the safety and efficacy of a single infusion of anti-COVID-19 hyperimmune intravenous immunoglobulin (hIVIG) versus placebo among adults with recently diagnosed severe acute respiratory syndrome - coronavirus 2 (SARS-CoV2) infection who do not require hospitalization. The primary endpoint of this double-blind randomized trial is a five-category ordinal outcome that asse,ClinicalTrials.gov-NIH,https://clinicaltrials.gov/study/NCT04910269,[ClinicalTrials.gov-NIH] Clinical Trial: HIV: The primary objective of the Outpatient Treatment with Anti-Coronavirus Immunoglobulin (OTAC) (INSIGHT 012) trial is to compare the safety and efficacy of a single infusion of anti-COVID-19 hyperimmune intravenous immunoglobulin (hIVIG) versus placebo among adults with recently diagnosed severe acute respiratory syndrome - coronavirus 2 (SARS-CoV2) infection who do not require hospitalization. The primary endpoint of this double-blind randomized trial is a five-category ordinal outcome that asse
Clinical Trial: HIV,"The primary objective of this study is to adapt and evaluate the feasibility of ""Lafiya,"" which means ""Wellness"" in Hausa, a multilevel intersectional stigma \& discrimination (ISD) and HIV testing intervention, to a status-neutral intervention to increase HIV testing, PrEP, and ART Uptake (HPART) among young gay, bisexual, and other men who have sex with men in Ghanaian slums. Specific objectives include, Assessing intersectional stigma and options for HPART implementation, Adapting Lafiya to a",ClinicalTrials.gov-NIH,https://clinicaltrials.gov/study/NCT06312514,"[ClinicalTrials.gov-NIH] Clinical Trial: HIV: The primary objective of this study is to adapt and evaluate the feasibility of ""Lafiya,"" which means ""Wellness"" in Hausa, a multilevel intersectional stigma \& discrimination (ISD) and HIV testing intervention, to a status-neutral intervention to increase HIV testing, PrEP, and ART Uptake (HPART) among young gay, bisexual, and other men who have sex with men in Ghanaian slums. Specific objectives include, Assessing intersectional stigma and options for HPART implementation, Adapting Lafiya to a"
Clinical Trial: Tuberculosis,"This study is open to people with idiopathic pulmonary fibrosis (IPF) or progressive pulmonary fibrosis (PPF). They can only take part if they have completed treatment in a previous study with a medicine called nerandomilast or BI 1015550.

The goal of this study is to find out how well people with pulmonary fibrosis tolerate long- term treatment with nerandomilast. The study also tests whether nerandomilast improves lung function and prolongs the time until symptoms get worse, participants need",ClinicalTrials.gov-NIH,https://clinicaltrials.gov/study/NCT06238622,"[ClinicalTrials.gov-NIH] Clinical Trial: Tuberculosis: This study is open to people with idiopathic pulmonary fibrosis (IPF) or progressive pulmonary fibrosis (PPF). They can only take part if they have completed treatment in a previous study with a medicine called nerandomilast or BI 1015550.

The goal of this study is to find out how well people with pulmonary fibrosis tolerate long- term treatment with nerandomilast. The study also tests whether nerandomilast improves lung function and prolongs the time until symptoms get worse, participants need"
Clinical Trial: Tuberculosis,"The purpose of this study is to assess the efficacy and safety of verekitug (UPB-101) in participants with moderate-to-severe Chronic Obstructive Pulmonary Disease (COPD), an inflammatory lung disease.",ClinicalTrials.gov-NIH,https://clinicaltrials.gov/study/NCT06981078,"[ClinicalTrials.gov-NIH] Clinical Trial: Tuberculosis: The purpose of this study is to assess the efficacy and safety of verekitug (UPB-101) in participants with moderate-to-severe Chronic Obstructive Pulmonary Disease (COPD), an inflammatory lung disease."
Clinical Trial: Heart Failure,The aim of this study is to determine the usability of echocardiographic PAP changes obtained from emergency department records in the early risk stratification of pulmonary embolism.,ClinicalTrials.gov-NIH,https://clinicaltrials.gov/study/NCT07641400,[ClinicalTrials.gov-NIH] Clinical Trial: Heart Failure: The aim of this study is to determine the usability of echocardiographic PAP changes obtained from emergency department records in the early risk stratification of pulmonary embolism.
